id,game_id,season_id,competition,team_id,opponent_team_id,is_home,points,points_attempted,fg_made,fg_attempted,fg_pct,three_made,three_attempted,three_pct,two_made,two_attempted,two_pct,ft_made,ft_attempted,ft_pct,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,fouls_committed,fouls_received,turnovers,dunks,plus_minus,efficiency,collective_offensive_rebounds,collective_defensive_rebounds,collective_total_rebounds,source_url,parse_model
37,19,1,NBB,14,5,1,63,154,23,58,39.7,5,22,23,18,36,50,12,16,75,15,17,32,5,10,0,20,0,21,2,0,50,,,,https://lnb.com.br/noticias/saldanha-x-espirito-santo-03022009/,classic
38,19,1,NBB,5,14,0,74,135,25,48,52.1,6,19,32,19,29,66,18,20,90,14,8,22,5,14,0,20,0,17,0,0,73,,,,https://lnb.com.br/noticias/saldanha-x-espirito-santo-03022009/,classic
39,20,1,NBB,1,7,1,82,197,32,73,43.8,11,39,28,21,34,62,7,12,58,27,8,35,17,4,6,20,0,10,1,0,88,,,,https://lnb.com.br/noticias/araraquara-x-franca-03022009/,classic
40,20,1,NBB,7,1,0,87,199,32,76,42.1,7,25,28,25,51,49,16,22,73,28,5,33,19,8,1,16,0,12,0,0,86,,,,https://lnb.com.br/noticias/araraquara-x-franca-03022009/,classic
41,21,1,NBB,8,9,1,78,162,31,63,49.2,10,27,37,21,36,58,6,9,67,28,10,38,18,7,0,16,0,19,1,0,87,,,,https://lnb.com.br/noticias/joinville-x-lajeado-03022009/,classic
42,21,1,NBB,9,8,0,56,157,22,62,35.5,3,18,17,19,44,43,9,15,60,15,12,27,8,11,0,11,0,16,1,0,40,,,,https://lnb.com.br/noticias/joinville-x-lajeado-03022009/,classic
43,22,1,NBB,11,6,1,85,175,31,65,47.7,7,25,28,24,40,60,16,20,80,24,9,33,17,2,3,19,0,16,2,0,86,,,,https://lnb.com.br/noticias/minas-x-flamengo-03022009/,classic
44,22,1,NBB,6,11,0,102,200,39,75,52,11,29,38,28,46,61,13,21,62,23,12,35,19,6,1,18,0,9,1,0,110,,,,https://lnb.com.br/noticias/minas-x-flamengo-03022009/,classic
45,23,1,NBB,2,3,1,78,173,26,60,43.3,8,26,31,18,34,53,18,27,67,20,9,29,15,6,4,18,0,7,1,0,82,,,,https://lnb.com.br/noticias/assis-x-bauru-03022009/,classic
46,23,1,NBB,3,2,0,77,142,29,56,51.8,4,13,31,25,43,58,15,17,88,21,5,26,8,3,2,23,0,11,0,0,76,,,,https://lnb.com.br/noticias/assis-x-bauru-03022009/,classic
47,24,1,NBB,5,9,1,93,168,28,53,52.8,7,15,47,21,38,55,30,47,64,21,15,36,15,3,4,26,0,16,3,0,93,,,,https://lnb.com.br/noticias/espirito-santo-x-lajeado-03042009/,classic
