id,team_id,season_id,alias,alias_type,source,is_primary
505,26,9,MAC,abbreviation,standings,0
506,26,9,Macaé Basquete,season_display_name,standings,1
507,26,9,MAIS SOBRE O CLUBE,link_text,standings,0
508,26,9,Macae,slug_name,standings,0
509,11,9,MIN,abbreviation,standings,0
510,11,9,Minas,season_display_name,standings,1
511,11,9,KTO Minas,logo_alt,standings,0
512,11,9,MAIS SOBRE O CLUBE,link_text,standings,0
513,22,9,MOG,abbreviation,standings,0
514,22,9,Mogi,season_display_name,standings,1
515,22,9,Mogi Basquete,logo_alt,standings,0
516,22,9,MAIS SOBRE O CLUBE,link_text,standings,0
517,12,9,CAP,abbreviation,standings,0
518,12,9,Paulistano,season_display_name,standings,1
519,12,9,MAIS SOBRE O CLUBE,link_text,standings,0
520,13,9,PIN,abbreviation,standings,0
521,13,9,Pinheiros,season_display_name,standings,1
522,13,9,MAIS SOBRE O CLUBE,link_text,standings,0
523,27,9,RCB,abbreviation,standings,0
524,27,9,Conta Simples Rio Claro,season_display_name,standings,1
525,27,9,MAIS SOBRE O CLUBE,link_text,standings,0
526,27,9,Rio Claro,slug_name,standings,0
527,31,9,VAS,abbreviation,standings,0
528,31,9,Vasco da Gama,season_display_name,standings,1
529,31,9,MAIS SOBRE O CLUBE,link_text,standings,0
530,29,9,VIT,abbreviation,standings,0
531,29,9,Vitória,season_display_name,standings,1
532,29,9,MAIS SOBRE O CLUBE,link_text,standings,0
533,21,10,FOR,abbreviation,standings,0
534,21,10,Basq. Cearense,season_display_name,standings,1
535,21,10,Fortaleza Basquete Cearense,logo_alt,standings,0
536,21,10,MAIS SOBRE O CLUBE,link_text,standings,0
537,21,10,Basq Cearense,slug_name,standings,0
538,3,10,BAU,abbreviation,standings,0
539,3,10,Bauru,season_display_name,standings,1
540,3,10,Bauru Basket,logo_alt,standings,0
541,3,10,MAIS SOBRE O CLUBE,link_text,standings,0
542,32,10,BOT,abbreviation,standings,0
543,32,10,Botafogo,season_display_name,standings,1
544,32,10,MAIS SOBRE O CLUBE,link_text,standings,0
545,30,10,CMO,abbreviation,standings,0
546,30,10,Campo Mourão,season_display_name,standings,1
547,30,10,VipTech CMB,logo_alt,standings,0
548,30,10,MAIS SOBRE O CLUBE,link_text,standings,0
549,30,10,Campo Mourao,slug_name,standings,0
550,28,10,CAX,abbreviation,standings,0
551,28,10,Caxias do Sul,season_display_name,standings,1
552,28,10,Caxias do Sul Basquete,logo_alt,standings,0
553,28,10,MAIS SOBRE O CLUBE,link_text,standings,0
